Round,FedAvg
1,0.24019607843137258
2,0.24019607843137258
3,0.24019607843137258
4,0.24019607843137258
5,0.24019607843137258
6,0.24019607843137258
7,0.24019607843137258
8,0.24019607843137258
9,0.24019607843137258
10,0.24019607843137258
11,0.24019607843137258
12,0.24019607843137258
13,0.24019607843137258
14,0.24019607843137258
15,0.24019607843137258
16,0.24019607843137258
17,0.24019607843137258
18,0.24019607843137258
19,0.24019607843137258
20,0.24019607843137258
21,0.24019607843137258
22,0.24019607843137258
23,0.24019607843137258
24,0.24019607843137258
25,0.24019607843137258
26,0.24019607843137258
27,0.24019607843137258
28,0.24019607843137258
29,0.24019607843137258
30,0.24019607843137258
31,0.24019607843137258
32,0.24019607843137258
33,0.24019607843137258
34,0.24019607843137258
35,0.24019607843137258
36,0.24019607843137258
37,0.24019607843137258
38,0.24019607843137258
39,0.24019607843137258
40,0.24019607843137258
