Round,FedAvg_incremental
1,0.3137254901960784
2,0.3137254901960784
3,0.3137254901960784
4,0.3137254901960784
5,0.3137254901960784
6,0.3137254901960784
7,0.3137254901960784
8,0.3137254901960784
9,0.3137254901960784
10,0.3137254901960784
11,0.3137254901960784
12,0.3137254901960784
13,0.3137254901960784
14,0.3137254901960784
15,0.3137254901960784
16,0.3137254901960784
17,0.3137254901960784
18,0.3137254901960784
19,0.3137254901960784
20,0.3137254901960784
21,0.3137254901960784
22,0.3137254901960784
23,0.3137254901960784
24,0.3137254901960784
25,0.3137254901960784
26,0.3137254901960784
27,0.3137254901960784
28,0.3137254901960784
29,0.3137254901960784
30,0.3137254901960784
31,0.3137254901960784
32,0.3137254901960784
33,0.3137254901960784
34,0.3137254901960784
35,0.3137254901960784
36,0.3137254901960784
37,0.3137254901960784
38,0.3137254901960784
39,0.3137254901960784
40,0.3137254901960784
41,0.3137254901960784
42,0.3137254901960784
43,0.3137254901960784
44,0.3137254901960784
45,0.3137254901960784
46,0.3137254901960784
47,0.3137254901960784
48,0.3137254901960784
49,0.3137254901960784
50,0.3137254901960784
51,0.3137254901960784
52,0.3224974200206398
53,0.3224974200206398
54,0.3224974200206398
55,0.3224974200206398
56,0.3224974200206398
57,0.3224974200206398
58,0.3224974200206398
59,0.3224974200206398
60,0.3224974200206398
61,0.3224974200206398
62,0.3224974200206398
63,0.3224974200206398
64,0.3224974200206398
65,0.3224974200206398
66,0.3224974200206398
67,0.3224974200206398
68,0.3224974200206398
69,0.3224974200206398
70,0.3224974200206398
71,0.3224974200206398
72,0.3224974200206398
73,0.3224974200206398
74,0.3224974200206398
75,0.3224974200206398
76,0.3224974200206398
77,0.3224974200206398
78,0.3224974200206398
79,0.3224974200206398
80,0.3224974200206398
