Round,FLwF_incremental
1,0.3224974200206398
2,0.3224974200206398
3,0.3224974200206398
4,0.3224974200206398
5,0.3224974200206398
6,0.3224974200206398
7,0.3224974200206398
8,0.3224974200206398
9,0.3224974200206398
10,0.3224974200206398
11,0.3224974200206398
12,0.3224974200206398
13,0.3224974200206398
14,0.3224974200206398
15,0.3224974200206398
16,0.3224974200206398
17,0.3224974200206398
18,0.3224974200206398
19,0.3224974200206398
20,0.3224974200206398
21,0.3224974200206398
22,0.3224974200206398
23,0.3224974200206398
24,0.3224974200206398
25,0.3224974200206398
26,0.3224974200206398
27,0.3224974200206398
28,0.3224974200206398
29,0.3224974200206398
30,0.3224974200206398
31,0.3224974200206398
32,0.3224974200206398
33,0.3224974200206398
34,0.3224974200206398
35,0.3224974200206398
36,0.3224974200206398
37,0.3224974200206398
38,0.3224974200206398
39,0.3224974200206398
40,0.3224974200206398
41,0.3224974200206398
42,0.3224974200206398
43,0.3224974200206398
44,0.3224974200206398
45,0.3224974200206398
46,0.3224974200206398
47,0.3224974200206398
48,0.3224974200206398
49,0.3224974200206398
50,0.3224974200206398
51,0.3224974200206398
52,0.3224974200206398
53,0.3224974200206398
54,0.3224974200206398
55,0.3224974200206398
56,0.3224974200206398
57,0.3224974200206398
58,0.3224974200206398
59,0.3224974200206398
60,0.3224974200206398
61,0.3224974200206398
62,0.3224974200206398
63,0.3224974200206398
64,0.3224974200206398
65,0.3224974200206398
66,0.3224974200206398
67,0.3224974200206398
68,0.3224974200206398
69,0.3224974200206398
70,0.3224974200206398
71,0.3224974200206398
72,0.3224974200206398
73,0.3224974200206398
74,0.3224974200206398
75,0.3224974200206398
76,0.3224974200206398
77,0.3224974200206398
78,0.3224974200206398
79,0.3224974200206398
80,0.3224974200206398
